,Name,Team,BYE,Pos,ADP,FantasyPros,NFLRank,NFLvADP,NFLvFP,Round,Pick,,,,,,,,,,,,,,
,Tee Higgins,CIN,9,WR76,203,206,185,-0.09,-0.10,,172,,,,,,,,,,,,,,
,Jaylen Samuels,PIT,8,RB70,267,246,186,-0.30,-0.24,,173,,,,,,,,,,,,,,
,Dawson Knox,BUF,11,TE28,233,214,188,-0.19,-0.12,,174,,,,,,,,,,,,,,
,DeSean Jackson,PHI,9,WR60,150,152,189,0.26,0.24,,175,,,,,,,,,,,,,,
,Randall Cobb,HOU,8,WR72,229,192,191,-0.17,-0.01,,176,,,,,,,,,,,,,,
,Denzel Mims,NYJ,11,WR69,195,181,192,-0.02,0.06,,177,,,,,,,,,,,,,,
,Hunter Renfrow,LV,6,WR66,198,168,193,-0.03,0.15,,178,,,,,,,,,,,,,,
,Larry Fitzgerald,ARI,8,WR67,189,169,194,0.03,0.15,,179,,,,,,,,,,,,,,
,Allen Lazard,GB,5,WR61,182,161,195,0.07,0.21,,180,,,,,,,,,,,,,,
,Giovani Bernard,CIN,9,RB56,250,186,197,-0.21,0.06,,181,,,,,,,,,,,,,,
,Adrian Peterson,WAS,8,RB53,156,173,200,0.28,0.16,,182,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
