,Name,Team,BYE,Pos,ADP,FantasyPros,NFLRank,NFLvADP,NFLvFP,Round,Pick,,,,,,,,,,,,,,
,Darrell Henderson,LAR,9,RB45,119,134,109,-0.08,-0.19,,108,,,,,,,,,,,,,,
,J.K. Dobbins,BAL,8,RB36,80,100,110,0.38,0.10,10,109,,,,,,,,,,,,,,
,Phillip Lindsay,DEN,8,RB37,99,103,111,0.12,0.08,,110,,,,,,,,,,,,,,
,Jerry Jeudy,DEN,8,WR49,106,118,112,0.06,-0.05,,111,,,,,,,,,,,,,,
,CeeDee Lamb,DAL,10,WR45,92,104,113,0.23,0.09,,112,,,,,,,,,,,,,,
,Mecole Hardman,KC,10,WR54,113,141,114,0.01,-0.19,,113,,,,,,,,,,,,,,
,Daniel Jones,NYG,11,QB14,102,116,115,0.13,-0.01,,114,,,,,,,,,,,,,,
,Henry Ruggs III,LV,6,WR53,116,133,117,0.01,-0.12,,115,,,,,,,,,,,,,,
,Matt Breida,MIA,11,RB34,111,93,118,0.06,0.27,,116,,,,,,,,,,,,,,
,Justin Jefferson,MIN,7,WR52,118,132,119,0.01,-0.10,,117,,,,,,,,,,,,,,
,Zack Moss,BUF,11,RB47,130,137,121,-0.07,-0.12,,118,,,,,,,,,,,,,,
,Royce Freeman,DEN,8,RB69,262,232,122,-0.53,-0.47,,119,,,,,,,,,,,,,,
,T.J. Hockenson,DET,5,TE14,123,122,124,0.01,0.02,,120,,,,,,,,,,,,,,
,Latavius Murray,NO,6,RB42,121,117,125,0.03,0.07,11,121,,,,,,,,,,,,,,
,Ben Roethlisberger,PIT,8,QB15,129,120,126,-0.02,0.05,,122,,,,,,,,,,,,,,
,Mike Gesicki,MIA,11,TE11,126,106,127,0.01,0.20,,123,,,,,,,,,,,,,,
,Tony Pollard,DAL,10,RB48,137,138,128,-0.07,-0.07,,124,,,,,,,,,,,,,,
,Rob Gronkowski,TB,13,TE13,79,110,130,0.65,0.18,,125,,,,,,,,,,,,,,
,Jalen Reagor,PHI,9,WR51,139,123,131,-0.06,0.07,,126,,,,,,,,,,,,,,
,Duke Johnson,HOU,8,RB44,147,124,133,-0.10,0.07,,127,,,,,,,,,,,,,,
,Alexander Mattison,MIN,7,RB46,117,135,134,0.15,-0.01,,128,,,,,,,,,,,,,,
,Mike Williams,LAC,10,WR47,108,112,135,0.25,0.21,,129,,,,,,,,,,,,,,
,Dallas Goedert,PHI,9,TE17,131,127,136,0.04,0.07,,130,,,,,,,,,,,,,,
,Boston Scott,PHI,9,RB50,159,145,137,-0.14,-0.06,,131,,,,,,,,,,,,,,
,Robby Anderson,CAR,13,WR56,132,143,138,0.05,-0.03,,132,,,,,,,,,,,,,,
,Sammy Watkins,KC,10,WR59,136,148,139,0.02,-0.06,12,133,,,,,,,,,,,,,,
,Baker Mayfield,CLE,9,QB17,100,129,140,0.40,0.09,,134,,,,,,,,,,,,,,
,Joe Burrow,CIN,9,QB20,135,144,141,0.04,-0.02,,135,,,,,,,,,,,,,,
,Ryan Tannehill,TEN,7,QB19,122,131,142,0.16,0.08,,136,,,,,,,,,,,,,,
,Nyheim Hines,IND,7,RB49,173,139,143,-0.17,0.03,,137,,,,,,,,,,,,,,
,Golden Tate,NYG,11,WR48,127,113,144,0.13,0.27,,138,,,,,,,,,,,,,,
,Jack Doyle,IND,7,TE18,161,136,145,-0.10,0.07,,139,,,,,,,,,,,,,,
,Anthony Miller,CHI,11,WR42,142,99,146,0.03,0.47,,140,,,,,,,,,,,,,,
,Eric Ebron,PIT,8,TE20,167,151,148,-0.11,-0.02,,141,,,,,,,,,,,,,,
,DeSean Jackson,PHI,9,WR60,158,153,149,-0.06,-0.03,,142,,,,,,,,,,,,,,
,Jonnu Smith,TEN,7,TE16,148,126,150,0.01,0.19,,143,,,,,,,,,,,,,,
,Jared Goff,LAR,9,QB16,115,128,151,0.31,0.18,,144,,,,,,,,,,,,,,
,Justin Jackson,LAC,10,RB54,152,172,152,0.00,-0.12,13,145,,,,,,,,,,,,,,
,Preston Williams,MIA,11,WR50,141,121,153,0.09,0.26,,146,,,,,,,,,,,,,,
,N'Keal Harry,NE,6,WR55,140,142,154,0.10,0.08,,147,,,,,,,,,,,,,,
,Antonio Gibson,WAS,8,RB52,178,165,155,-0.13,-0.06,,148,,,,,,,,,,,,,,
,Michael Pittman Jr.,IND,7,WR63,153,164,156,0.02,-0.05,,149,,,,,,,,,,,,,,
,Jimmy Garoppolo,SF,11,QB22,124,150,158,0.27,0.05,,150,,,,,,,,,,,,,,
,Curtis Samuel,CAR,13,WR57,157,146,159,0.01,0.09,,151,,,,,,,,,,,,,,
,Chase Edmonds,ARI,8,RB51,145,152,161,0.11,0.06,,152,,,,,,,,,,,,,,
,Cam Newton,NE,6,QB18,168,130,162,-0.04,0.25,,153,,,,,,,,,,,,,,
